name,country,url,lat,long,sparqlendpoint
Gazettes WW1,UK,http://openuplabs.tso.co.uk/sparql/tso-gazettes-wwi,51.507304,-0.127616,http://gov.tso.co.uk/tso-gazette-index-wwi/sparql
COINS,UK,http://openuplabs.tso.co.uk/sparql/gov-coins,51.507304,-0.127616,http://gov.tso.co.uk/coins/sparql
Legislation,UK,http://openuplabs.tso.co.uk/sparql/gov-legislation,51.507304,-0.127616,http://gov.tso.co.uk/legislation/sparql
Education,UK,http://openuplabs.tso.co.uk/sparql/gov-education,51.507304,-0.127616,http://gov.tso.co.uk/education/sparql
Transport,UK,http://openuplabs.tso.co.uk/sparql/gov-transport,51.507304,-0.127616,http://gov.tso.co.uk/transport/sparql
DCLG,UK,http://openuplabs.tso.co.uk/sparql/tso-dclg,51.507304,-0.127616,http://gov.tso.co.uk/dclg/sparql
Geographic Data,UK,http://openuplabs.tso.co.uk/sparql/os-geo,51.507304,-0.127616,http://os.services.tso.co.uk/geo/sparql
Reference,UK,http://openuplabs.tso.co.uk/sparql/gov-reference,51.507304,-0.127616,http://gov.tso.co.uk/reference/sparql
Gazettes,UK,http://openuplabs.tso.co.uk/sparql/tso-gazettes,51.507304,-0.127616,http://gov.tso.co.uk/gazettes/sparql
Research,UK,http://openuplabs.tso.co.uk/sparql/gov-research,51.507304,-0.127616,http://gov.tso.co.uk/research/sparql
Business,UK,http://openuplabs.tso.co.uk/sparql/gov-business,51.507304,-0.127616,http://gov.tso.co.uk/business/sparql
Crime,UK,http://openuplabs.tso.co.uk/sparql/gov-crime,51.507304,-0.127616,http://gov.tso.co.uk/crime/sparql
Patents,UK,http://openuplabs.tso.co.uk/sparql/gov-patents,51.507304,-0.127616,http://gov.tso.co.uk/patents/sparql
Statistics,UK,http://openuplabs.tso.co.uk/sparql/gov-statistics,51.507304,-0.127616,http://gov.tso.co.uk/statistics/sparql
Environment,UK,http://openuplabs.tso.co.uk/sparql/gov-environment,51.507304,-0.127616,http://gov.tso.co.uk/environment/sparql
TSO Metadata,UK,http://openuplabs.tso.co.uk/sparql/tso-metadata,51.507304,-0.127616,http://gov.tso.co.uk/void/sparql
TSO Global,UK,http://openuplabs.tso.co.uk/sparql/tso-global,51.507304,-0.127616,http://gov.tso.co.uk/global/sparql
Organograms,UK,http://openuplabs.tso.co.uk/sparql/gov-organograms,51.507304,-0.127616,http://reference.data.gov.uk/organograms/sparql
The British National Bibliography,UK,http://bnb.data.bl.uk/flint-sparql,51.507304,-0.127616,http://bnb.data.bl.uk/sparql
Bathing Water Quality,UK,http://environment.data.gov.uk/bwq/sparql.html,51.507304,-0.127616,http://environment.data.gov.uk/sparql/bwq/query
Land Registry,UK,http://landregistry.data.gov.uk/app/hpi/qonsole,51.507304,-0.127616,http://landregistry.data.gov.uk/landregistry/query
OpenDataCommunities,UK,http://opendatacommunities.org/sparql,51.507304,-0.127616,http://opendatacommunities.org/sparql.json
Open Data Scotland Linked Data,UK,http://data.opendatascotland.org/sparql,57.040840,-4.280503,http://data.opendatascotland.org/sparql.json
GeoLinkedData.es consulta SPARQL,Spain,http://geo.linkeddata.es/web/guest/endpoints,40.392834,-3.723986,http://geo.linkeddata.es/sparql
dados.gov.br,Brazil,http://orcamento.dados.gov.br/sparql/,-23.548405,-46.637185,http://orcamento.dados.gov.br/sparql/
Web NDL Authorities,Japan,http://iss.ndl.go.jp/ndla/sparql/,35.678058, 139.744275,http://id.ndl.go.jp/auth/ndla
Yokohama Art LOD Project,Japan,http://fp.yafjp.org/yokohama_art_lod,35.4656376,139.621782,http://archive.yafjp.org/test/inspection.php
e-Stat,Japan,http://statdb.nstac.go.jp/system-info/api/api-spec/,35.700772,139.714796,http://statdb.nstac.go.jp/lod/sparql
odp,Japan,http://sparql.odp.jig.jp/,35.95655,136.18447,http://sparql.odp.jig.jp/api/v1/sparql
bodic,Japan,http://teapot.bodic.org/,33.590139, 130.401722,http://teapot-api.bodic.org/api/v1/sparql
